,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
39,Montmerle-sur-Saône,14.8,24.9,15.0,11.4,11.7
40,Montréal-la-Cluse,12.4,21.9,14.3,10.9,11.0
41,Montrevel-en-Bresse,12.0,20.8,14.3,10.0,10.9
42,Nantua,12.1,28.3,13.4,10.1,10.3
43,Neyron,18.0,29.5,15.4,11.7,12.7
44,Ornex,13.4,25.6,15.0,11.0,12.4
45,Oyonnax,12.1,24.5,14.4,10.4,10.2
46,Péron,13.3,23.5,14.5,10.1,11.9
47,Péronnas,13.4,23.4,14.3,10.7,11.2
48,Polliat,13.1,23.5,14.1,10.5,11.3
49,Pont-d'Ain,12.9,21.7,14.6,10.3,11.0
50,Pont-de-Vaux,12.0,22.1,13.8,10.7,10.6
51,Prévessin-Moëns,14.3,31.2,13.3,10.7,11.8
52,Replonges,13.5,22.8,14.6,11.0,11.0
53,Reyrieux,17.8,28.0,16.5,11.9,12.1
54,Saint-André-de-Corcy,15.0,24.2,15.0,11.4,11.8
55,Saint-Denis-lès-Bourg,13.9,23.1,14.6,10.9,11.5
56,Saint-Denis-en-Bugey,13.2,23.5,14.9,10.7,11.5
57,Saint-Didier-sur-Chalaronne,13.1,24.9,15.0,10.4,11.3
58,Saint-Étienne-du-Bois,13.1,23.7,13.7,10.5,11.2
59,Saint-Genis-Pouilly,12.4,24.1,13.2,10.3,11.3
60,Saint-Maurice-de-Beynost,13.6,23.7,14.9,10.7,11.3
61,Saint-Maurice-de-Gourdans,15.6,23.6,15.2,11.9,12.0
62,Saint-Rambert-en-Bugey,11.7,19.5,14.3,9.9,10.7
63,Thoiry,13.5,26.8,14.2,10.2,11.2
64,Treffort-Cuisiat,12.7,23.6,14.0,10.5,10.4
65,Trévoux,14.5,25.3,15.2,11.0,11.0
66,Versonnex,13.3,23.0,15.9,10.3,11.3
67,Villars-les-Dombes,13.3,22.4,14.6,10.6,10.5
68,Villieu-Loyes-Mollon,15.3,24.5,15.4,11.2,12.1
69,Viriat,13.3,23.7,14.2,11.0,11.3
70,Vonnas,12.4,27.2,13.5,10.0,10.8
71,Athies-sous-Laon,12.4,20.8,14.3,10.3,10.8
72,Beautor,11.6,21.2,14.0,10.2,10.9
73,Belleu,11.9,21.3,13.9,10.1,10.7
74,Bohain-en-Vermandois,11.3,20.8,13.0,9.4,11.0
75,Braine,12.1,22.3,14.5,10.1,10.9
76,Charly-sur-Marne,12.6,20.6,14.6,10.4,11.5
77,Château-Thierry,12.4,23.8,14.3,10.1,10.8
78,Chauny,12.3,24.2,14.8,9.8,11.0
79,Crouy,12.0,20.4,13.9,9.8,10.8
80,Essômes-sur-Marne,13.7,25.9,14.4,10.9,11.7
81,La Fère,10.6,21.6,12.6,9.7,9.8
82,Fère-en-Tardenois,11.9,27.7,14.1,9.8,10.6
83,La Ferté-Milon,13.0,22.5,15.3,10.9,11.6
84,Fresnoy-le-Grand,12.0,27.2,13.6,9.6,10.8
85,Gauchy,12.2,22.2,13.6,10.2,11.3
86,Guignicourt,13.3,22.6,14.8,10.7,11.3
87,Guise,11.4,21.5,13.4,9.6,10.9
88,Hirson,11.1,21.6,13.1,9.6,10.6
89,Laon,11.4,21.9,13.1,10.0,9.8
90,Marle,12.4,24.6,15.0,10.4,10.9
91,Neuilly-Saint-Front,11.8,18.6,13.9,10.9,10.7
92,Nogent-l'Artaud,13.1,23.6,14.7,11.0,11.7
93,Le Nouvion-en-Thiérache,12.6,19.3,16.8,9.8,11.6
94,Saint-Gobain,12.6,23.2,14.9,10.1,10.6
