,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
29410,Dompierre-les-Ormes,60,33,25,0,2,0,0,0,0,0
29411,Dompierre-sous-Sanvignes,5,3,2,0,0,0,0,0,0,0
29412,Donzy-le-National,12,12,0,0,0,0,0,0,0,0
29413,Donzy-le-Pertuis,11,7,4,0,0,0,0,0,0,0
29414,Dracy-le-Fort,136,88,24,4,10,5,2,2,1,0
29415,Dracy-lès-Couches,6,5,1,0,0,0,0,0,0,0
29416,Dracy-Saint-Loup,13,8,4,1,0,0,0,0,0,0
29417,Dyo,7,6,1,0,0,0,0,0,0,0
29418,Écuelles,7,7,0,0,0,0,0,0,0,0
29419,Écuisses,92,55,20,5,5,5,2,0,0,0
29420,Épertully,5,4,1,0,0,0,0,0,0,0
29421,Épervans,68,39,23,2,3,0,0,1,0,0
29422,Épinac,123,77,37,3,3,1,2,0,0,0
29423,Essertenne,18,13,4,1,0,0,0,0,0,0
29424,Étang-sur-Arroux,105,59,31,4,8,2,1,0,0,0
29425,Étrigny,29,25,4,0,0,0,0,0,0,0
29426,Farges-lès-Chalon,37,23,9,3,0,1,1,0,0,0
29427,Farges-lès-Mâcon,10,9,1,0,0,0,0,0,0,0
29428,Le Fay,26,23,3,0,0,0,0,0,0,0
29429,Flacey-en-Bresse,16,13,3,0,0,0,0,0,0,0
29430,Flagy,11,8,3,0,0,0,0,0,0,0
29431,Fleury-la-Montagne,24,21,3,0,0,0,0,0,0,0
29432,Fley,6,6,0,0,0,0,0,0,0,0
29433,Fontaines,124,88,23,4,3,4,2,0,0,0
29434,Fontenay,1,1,0,0,0,0,0,0,0,0
29435,Fragnes,56,28,13,2,3,8,1,1,0,0
29436,Frangy-en-Bresse,19,14,5,0,0,0,0,0,0,0
29437,La Frette,4,3,1,0,0,0,0,0,0,0
29438,Fretterans,9,7,2,0,0,0,0,0,0,0
29439,Frontenard,8,6,2,0,0,0,0,0,0,0
29440,Frontenaud,40,27,10,1,2,0,0,0,0,0
29441,Fuissé,29,21,5,2,1,0,0,0,0,0
29442,Génelard,93,51,27,7,6,2,0,0,0,0
29443,La Genête,21,17,2,0,0,1,0,1,0,0
29444,Genouilly,36,27,7,2,0,0,0,0,0,0
29445,Gergy,115,86,25,1,2,1,0,0,0,0
29446,Germagny,12,8,3,1,0,0,0,0,0,0
29447,Germolles-sur-Grosne,6,3,3,0,0,0,0,0,0,0
29448,Gibles,51,32,15,2,1,1,0,0,0,0
29449,Gigny-sur-Saône,19,13,5,0,1,0,0,0,0,0
29450,Gilly-sur-Loire,24,16,7,0,0,0,1,0,0,0
29451,Givry,262,182,61,7,9,3,0,0,0,0
29452,Gourdon,42,26,9,3,2,1,1,0,0,0
29453,La Grande-Verrière,27,23,4,0,0,0,0,0,0,0
29454,Grandvaux,3,2,1,0,0,0,0,0,0,0
29455,Granges,19,13,5,0,1,0,0,0,0,0
29456,Grevilly,1,1,0,0,0,0,0,0,0,0
29457,Grury,29,21,7,1,0,0,0,0,0,0
29458,Guerfand,1,1,0,0,0,0,0,0,0,0
29459,Les Guerreaux,6,6,0,0,0,0,0,0,0,0
29460,Gueugnon,399,240,119,12,12,11,1,2,0,2
29461,La Guiche,44,30,12,1,1,0,0,0,0,0
29462,Hautefond,19,11,5,0,1,1,1,0,0,0
29463,L'Hôpital-le-Mercier,9,6,3,0,0,0,0,0,0,0
29464,Huilly-sur-Seille,10,9,1,0,0,0,0,0,0,0
